sign bit;the leftmost bit in a floating-point number, indicating its positive (0) or negative (1) value
Flatten for Flattening;Use np.ndarray.flatten() to flatten arrays into one-dimensional arrays (returns a copy).
Einsum Function;np.einsum() allows for efficient contraction and summation of multidimensional arrays using Einstein's summation convention.
Einsum Notation;Uses subscripts to define input and output array dimensions, facilitating complex array operations in a concise manner.
Einsum Example;Example: np.einsum('ij,jk->ik', A, B) performs matrix multiplication of A and B, resulting in a new array C.
Swapaxes Function;np.swapaxes() swaps two axes of an array, changing the shape and layout of the array in memory.
Swapaxes Example;Example: np.swapaxes(arr, axis1, axis2) swaps the specified axes (axis1 and axis2) of the input array.
Benefits of Einsum;Enables efficient handling of complex array operations, reducing the need for explicit loops and intermediate arrays.
Machine Epsilon;Machine epsilon (eps) is the smallest positive floating-point number such that 1.0 + eps != 1.0.
Double Precision Machine Epsilon;For IEEE 754 double precision (float64), machine epsilon is approximately 2.220446049250313e-16.
Single Precision Machine Epsilon;For IEEE 754 single precision (float32), machine epsilon is approximately 1.19209290e-07.
IEEE 754 Roundoff Guarantees;In IEEE 754 arithmetic, roundoff errors are guaranteed to be less than 0.5 ulps (units in the last place) for basic operations.
Roundoff Guarantee Example;For addition, the result is correctly rounded to the nearest representable floating-point number within 0.5 ulps of the exact result.
IEEE 754 Rounding Modes;IEEE 754 defines different rounding modes: round to nearest, round towards positive infinity, round towards negative infinity, and round towards zero.
ULPs (Units in the Last Place);ULPs represent the gap between adjacent floating-point numbers in a numerical system.
Significance of ULPs;ULPs indicate the precision of a floating-point number relative to its magnitude.
Floating-Point Numbers and ULPs;Two floating-point numbers that differ by 1 ULP have the smallest possible difference.
np.nextafter Function;In NumPy, np.nextafter(x, y) returns the next representable floating-point number after x in the direction of y.
np.nextafter Example;Example: np.nextafter(1.0, 2.0) returns the next representable floating-point number greater than 1.0.
np.nextafter Usage;Useful for exploring floating-point number representation and analyzing precision in numerical algorithms.
Avoiding Catastrophic Cancellation;By understanding ULPs, programmers can mitigate the effects of catastrophic cancellation in numerical computations.
Comparing Floating-Point Numbers;When comparing floating-point numbers, consider a tolerance in ULPs rather than an absolute tolerance to account for precision differences.
Time complexity of transpose; O(1) 
you are;a space cadet
Square Root of a Negative Number;Taking the square root of a negative number in real arithmetic results in NaN.
Zero Divided by Zero;Zero divided by zero is an undefined operation, resulting in NaN.
Infinity Minus Infinity;Performing subtraction between positive and negative infinity results in NaN.
NaN as an Operand;Any arithmetic operation involving NaN as an operand results in NaN.
0.0 * Infinity;Multiplying zero by positive or negative infinity results in NaN.
Infinity / Infinity;Dividing positive or negative infinity by itself results in NaN.
Infinity * Zero;Multiplying positive or negative infinity by zero results in NaN.
Overflow Exception;If untrapped, overflow  results in positive or negative infinity (Inf).
Underflow Exception;If untrapped, underflow results in positive/negative zero.
Division by Zero Exception;If untrapped, division by zero results in positive or negative infinity (Inf).
Invalid Operation Exception;If untrapped, invalid operations like square root of a negative number result in NaN.
Inexact Exception;A result that is not exact, typically due to limited precision or rounding, but not exceptional. Results in nearest float. 

