Notation for a vector;\[ \bf{x} \]
Gradient of a function;\[ \nabla L(\vec{\theta}) = \left[ \frac{\partial L(\vec{\theta})}{\partial \theta_1}, \frac{\partial L(\vec{\theta})}{\partial \theta_2}, \dots, \frac{\partial L(\vec{\theta})}{\partial \theta_n} \right] \]
Gradient descent algorithm;\[ \vec{\theta^{(i+1)}} = \vec{\theta^{(i)}} - \delta \nabla L(\vec{\theta^{(i)}}) \]
Definition of differentiation;\[ \frac{df(x)}{dx} = \lim_{h \rightarrow 0} \frac{f(x+h) - f(x-h)}{2h} \]
Hessian matrix;\[ \nabla \nabla L(\vec{\theta}) = \nabla^2 L(\vec{\theta}) = \begin{bmatrix} \frac{\partial^2 L(\vec{\theta})}{\partial \theta_1^2} & \frac{\partial^2 L(\vec{\theta})}{\partial \theta_1\partial \theta_2} & \frac{\partial^2 L(\vec{\theta})}{\partial \theta_1\partial \theta_3} & \dots & \frac{\partial^2 L(\vec{\theta})}{\partial \theta_1\partial \theta_n}\\ \frac{\partial^2 L(\vec{\theta})}{\partial \theta_2\partial\theta_1} & \frac{\partial^2 L(\vec{\theta})}{\partial \theta_2^2} & \frac{\partial^2 L(\vec{\theta})}{\partial \theta_2\partial \theta_3} & \dots & \frac{\partial^2 L(\vec{\theta})}{\partial \theta_2\partial \theta_n}\\ \dots\\ \frac{\partial^2 L(\vec{\theta})}{\partial \theta_n\partial\theta_1} & \frac{\partial^2 L(\vec{\theta})}{\partial \theta_n\partial \theta_2} & \frac{\partial^2 L(\vec{\theta})}{\partial \theta_n\partial \theta_3} & \dots & \frac{\partial^2 L(\vec{\theta})}{\partial \theta_n^2}\\ \end{bmatrix} \]
Convex sum of sub-objective functions;\[ L(\theta) = \lambda_1 L_1(\theta) + \lambda_2 L_2(\theta) + \dots + \lambda_n L_n(\theta) \]
Expectation of a random variable;\[ \expect{X} = \int_x x\ f_X(x) dx \]
Expectation of a function of a random variable;\[ \expect{g(X)} = \int_x f_X(x) g(x) dx \]
Definition of Nyquist limit;\[ f_n = \frac{f_s}{2} \]
Signal to noise ratio;\[ \text{SNR} = \frac{S}{N} \]
SNR in dB;\[ \text{SNR}_{dB} = 10 \log_{10} \left( \frac{S}{N} \right) \]
Exponential smoothing;\[ y[t] = \alpha y[t-1] + (1-\alpha) x[t] \]
Convolution of sampled signals;\[ (x * y)[n] = \sum_{m=-M}^{M} x[n] y[n-m] \]
Convolution of sampled signals;\[ (x * y)[n] = \sum_{m=-M}^{M} x[n] y[n-m] \]
Discrete Fourier Transform (DFT) equation;\[ X[k] = \sum_{n=0}^{N-1} x[n] e^{-\frac{2\pi i}{N}kn} \]
